month,emi_wogs_gte_4_lbs_fresh_80,emi_wog_2_5_4_0_lbs_fresh_70,emi_wog_marinated_fresh_87,emi_8_9_piece_lt_2_5_lbs_fresh_100,emi_8_9_pc_marinated_fresh_125,emi_front_halves_all_fresh_133,emi_breast_whole_split_fresh_220,emi_breast_whole_split_small_fresh_222,emi_bs_breast_unsized_medium_fresh_270,emi_bs_breast_unsized_jumbo_fresh_271,emi_bs_breast_unsized_small_fresh_272,emi_breast_trim_lte_5_fat_fresh_312,emi_breast_trim_6_15_fat_fresh_315,emi_tenders_medium_fresh_320,emi_tenders_jumbo_fresh_321,emi_tenders_small_fresh_340,emi_whole_wings_fresh_350,emi_whole_wings_jumbo_fresh_370,emi_wings_drmts_midjnt_jumbo_fresh_411,emi_wings_drmts_midjnt_fresh_412,emi_leg_quarters_fresh_500,emi_leg_quarters_jumbo_fresh_501,emi_whole_legs_fresh_510,emi_whole_legs_jumbo_fresh_530,emi_drumsticks_jumbo_fresh_541,emi_drumsticks_fresh_542,emi_bs_legmeat_fresh_560,emi_thighs_fresh_570,emi_bs_thighs_fresh_590,emi_msc_lte_15_fat_fresh_800,emi_msc_gt_15_fat_fresh_810,emi_2_5_3_lb_wog_equivalent_fresh_92,emi_whole_wings_small_fresh_352,emi_whole_wings_medium_fresh_351,emi_wings_drmts_midjnt_medium_fresh_413,emi_wings_drmts_midjnt_small_fresh_414,emi_bs_breast_unsized_all_frozen_273,emi_wing_tips_frozen_380,emi_wings_drmts_midjnt_frozen_410,emi_leg_quarters_frozen_500,emi_leg_quarters_jumbo_frozen_501,emi_bs_thighs_frozen_590,emi_msc_all_frozen_820
1/1/01,52,55.6,63.6,65.7,67.1,70,62.5,62.5,126.3,126.3,126.3,82,85,153,153,165,88.5,89.6,101.3,101.3,20.1,20.1,31.8,26.8,34.5,44.5,74.6,29.3,83.2,14,13.15,,0,0,0,0,125,17.3,120,20.1,20.1,80,17.5
2/1/01,52.3,57,63.2,66.1,67.9,71,73.6,73.6,130.2,130.2,130.2,83.4,86.4,153,153,168.5,84.2,85.4,100.2,100.2,20.3,20.3,33.5,28.4,35.8,45.8,72.3,32.5,91.7,14,13.2,,0,0,0,0,125,17.7,121,20.8,20.8,88.2,16.8
3/1/01,55.7,58.1,62.7,68.3,68.2,71.5,72.4,72.4,130.3,130.3,130.3,81.8,84.8,158,158,187.27,92.2,93.2,98.4,98.4,22,22,34.5,30.8,35.45,45.45,73.3,33.6,93.6,14,13.2,,0,0,0,0,125,19.9,118,22.1,22.1,90,17.6
4/1/01,54.2,58.3,63.4,68.8,68.2,71.5,71.5,71.5,125.6,125.6,125.6,82.5,85.5,162.75,162.75,200,95.6,96,96.4,96.4,26.4,26.4,39.1,36.1,35.2,45.2,73.8,35.8,93.7,14.2,13.35,,0,0,0,0,126,19.5,115,25.7,25.7,90.15,18.1
5/1/01,53.14,57.85,64.54,68.28,68.6,72.49,80.67,76.39,126.6,126.6,149.62,113.65,94.31,163,163,205,93.07,102.88,95.89,99.72,28.3,28.3,44.07,40.53,35,45.39,86.81,29.17,94.52,19.84,13.34,,0,0,0,0,127.43,14.61,98,29.01,29.01,108.07,17.78
6/1/01,56.91,61.1,65.39,69.39,68.33,69.33,71.57,76.14,125.34,134.86,133.65,85.56,91.25,148.31,158.39,202.98,96.21,98.27,99.58,110.07,28.43,28.43,42.55,39.35,35.36,43.61,73.77,37.49,94.81,17.83,13.51,,0,0,0,0,130.97,16.57,100.37,29.41,29.41,88.83,19.32
7/1/01,55.34,61.87,64.64,70.03,68.5,69.73,71.63,72.58,131.29,132.66,139.02,87.26,93.66,141.77,144.66,199.94,91.98,97.2,105.19,108.72,30.38,30.38,42.78,39.43,42.73,49.53,73.75,40.35,94.5,17.99,13.26,,0,0,0,0,124.81,16.44,115.05,30.17,30.17,87.1,20.57
8/1/01,54.12,58.99,67.15,70.3,68.53,68.48,78.18,76.67,145.94,145.18,153.68,87.01,92.26,149.04,143.87,199.58,95.19,96.42,110.93,107.42,31.91,31.91,44.01,41.5,43.77,47.5,73.02,40.18,95.28,18.83,13.45,,0,0,0,0,131.43,11.65,114.49,30.36,30.36,86.01,19.62
9/1/01,53.19,58.69,65.54,71.18,68.21,68.05,81.05,79.21,151.08,146.71,156.48,79,81.53,152.18,145.64,199.59,104.66,103.95,125.4,114.4,33.09,33.09,44.55,42.26,43.49,48.74,73.11,38.55,95.12,17.87,13.52,,0,0,0,0,151.77,13.33,121.77,31.43,31.43,89.92,18.11
10/1/01,50.64,57.41,65.68,71.02,68.43,62.61,69.56,69.06,122.78,122.97,130.83,73.66,81.51,148.38,137.88,199.64,100.3,97.21,119.32,113.36,32.92,32.92,44.23,40.47,47.63,48.75,81.52,35.28,94.29,16.44,13.25,,0,0,0,0,130.9,14.46,121.86,32.51,32.51,85.41,16.86
11/1/01,54.15,56.94,66.05,70.31,68.3,60.49,63.09,64.02,113.51,111.39,122.26,82.98,93.93,114.28,110.2,199.65,85.01,81.48,103.38,103,29.16,29.16,42.67,39.54,45.8,45.4,84.71,33.79,91.44,14.5,12.93,,0,0,0,0,119.89,13.22,121.67,31.1,31.1,81.05,16.34
12/1/01,50.79,54.61,64.05,69.55,68.12,61.42,57.12,56.16,114.85,111.5,120.14,80.77,87.01,100.69,102.29,199.54,83.67,86.84,102.43,101.72,24.25,24.25,43.27,35.13,38.76,46.61,87,32.19,86.35,14.72,12.95,,0,0,0,0,110.99,12.07,116.95,25.82,25.82,76.81,15.57
1/1/02,50.98,54.81,64.67,69.11,68.45,60.04,58.92,55.99,119.68,114.3,121.94,94.24,108.05,102.25,102.68,199.49,92.95,95.35,109.19,106.24,25.07,24.88,42.29,36.3,38.93,45.4,81,29.52,85.4,14.21,12.54,,0,0,0,0,112.79,9.76,121.34,24.1,23.31,76.87,15.44
2/1/02,52.4,54.43,63.71,69.19,68.72,60.14,62.12,62.26,115.44,111.69,116.7,102.32,108.67,105.46,108.39,204.11,79.12,78.37,94.81,99.48,25.97,25.12,41,36.51,39.01,45.76,80.87,29.67,83.65,13.79,12.7,,0,0,0,0,118.93,10.02,121.18,23.59,23.15,78.5,15.39
3/1/02,47.2,53.82,64.62,69.25,68.54,64.82,69.89,67.58,125.65,122.78,129.96,104.82,112.03,133.88,131.06,190.64,69.88,68.55,87.74,90.92,21.33,20.28,40.17,31.4,38.14,40.78,78.96,30.5,84.37,13.05,12.74,,0,0,0,0,116.39,12.12,121.71,19.32,18.2,77.52,15.1
4/1/02,46.97,52.86,65.25,69.04,68.21,60.75,69.11,69.11,125.1,120.78,129.8,106.47,107.72,137.2,133.46,192.48,62.5,60.46,78.27,78.09,18.82,18.06,37.28,26.89,32.86,36.57,80.18,29.95,84.35,13.23,12.77,,0,0,0,0,124.9,12.63,119.53,14.94,14.45,73.31,14.96
5/1/02,48.68,54.58,64.42,69.11,68.07,62.17,83.4,82.7,142.49,139.18,147.32,102.5,108.16,119.94,119.74,191.8,56.32,56.1,75.43,72.21,20.35,19.1,36.57,28.02,33.05,37.16,77.67,27.98,81.34,13.1,12.63,,0,0,0,0,133.95,12.21,104.94,16.38,15.26,71.6,14.62
6/1/02,53.65,58.95,64.05,69.86,68.17,60.03,84.79,86.62,143.02,139.43,147.09,99.99,107.46,109.67,110.28,192.96,54.87,55.85,73.93,69.77,21.2,19.04,37.47,27.28,31.42,37.54,73.18,28.12,77.42,13.24,12.78,,0,0,0,0,148.32,14.32,121.88,19.13,17.75,73.82,15.43
7/1/02,50.94,57.71,65.58,70.11,68.49,61.43,82.65,86.18,143.53,138.33,144.87,97.39,106.1,106.75,106.21,192.74,52.96,55.88,74.72,69.8,19,17.1,38.28,24.19,26.98,33.39,58.22,25.03,62.02,13.37,12.83,,0,0,0,0,134.4,12.08,90.43,17.12,17.53,72.16,15.45
8/1/02,47.12,54.5,64.57,69.85,68.62,66.1,83.99,86.5,147.87,144.1,151.36,101.3,109.35,108.8,110.29,187.18,49.3,54.77,73.68,67.4,18.06,17.1,36.85,22.4,24.46,28.9,53.57,21.89,59.02,13.26,12.76,,0,0,0,0,145.9,11.09,91.21,16.94,16.64,53.16,15.82
9/1/02,45.67,55.09,64.14,69.8,68.46,66.77,79.82,83.88,141.65,136.77,146.95,101.85,107.09,128.09,130.75,185.71,56.5,61.79,79.48,71.52,18.96,17.86,35.98,22.15,24.53,29.64,56.73,21.72,62.59,13.03,12.96,,0,0,0,0,141.78,11.18,54.92,16.76,17.15,58.44,15.65
10/1/02,44.1,51.33,63.8,69.46,68.45,53.14,66.73,70.02,122.65,119.39,124.03,103.25,106.26,124.73,119.55,181.13,51.32,53.88,73.35,69.48,19.07,18.42,33.82,22.61,24.31,26.8,58.27,21.48,65.05,13.14,13.15,,0,0,0,0,123.14,10.65,43.11,18.76,18.33,62.01,15.64
11/1/02,46.39,51.3,63.69,68.85,68.45,57.66,63.87,69.45,122.1,118.86,125.32,100.98,101.55,109.36,106.18,170.83,43.72,44.19,63.33,63.07,18.94,17.43,35.09,22.51,22.33,24.84,59.02,21.41,64.54,13.13,12.92,,0,0,0,0,120.41,11.52,59.49,18.89,18.04,60.62,15.16
