"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"SURVEY","2026","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.65",""
"SURVEY","2026","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.66",""
"SURVEY","2026","MAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.61",""
"SURVEY","2025","APR","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.55",""
"SURVEY","2025","AUG","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.65",""
"SURVEY","2025","DEC","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.60",""
"SURVEY","2025","FEB","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.57",""
"SURVEY","2025","JAN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.65",""
"SURVEY","2025","JUL","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.59",""
"SURVEY","2025","JUN","","NATIONAL","US TOTAL","","","","","","","","00000000","","CHICKENS","CHICKENS, YOUNG, SLAUGHTER, FI - SLAUGHTERED, MEASURED IN LB / HEAD, LIVE BASIS","TOTAL","NOT SPECIFIED","6.59",""
